CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG;STAT
CAT048;20;129;04:02:07:398;41,29734947;2,12333835;213,359370252118;699,997956297957;0,988281;101,793823;1000;7;4CAD3C;RYR1FB;1014;14,941;79,453;188;1,5;182;78,398438;177;0,272;1696;2016;2077;188,32;79,2828;No alert, no SPI, aircraft airbone
CAT048;20;129;04:02:11:359;41,29769138;2,12787246;251,459064817987;824,996958217446;1,1875;98,783569;1000;8,25;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;85,429688;178;0,272;2432;2336;2077;188,76;85,4352;No alert, no SPI, aircraft airbone
CAT048;20;129;04:02:15:336;41,29772347;2,13254746;304,798691242933;999,995738177465;1,398438;97,371826;1000;10;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;94,21875;177;0,272;2528;2688;2077;187,22;92,4445;No alert, no SPI, aircraft airbone
CAT048;20;129;04:02:19:328;41,29735166;2,13705655;358,138275169767;1174,99437870798;1,605469;97,223511;1000;11,75;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;100,722656;174;0,268;2464;2656;2077;185,46;99,3054;No alert, no SPI, aircraft airbone
CAT048;20;129;04:02:23:328;41,29670793;2,1415286;403,857808351517;1324,99285195199;1,8125;97,630005;1000;13,25;4CAD3C;RYR1FB;1014;4,57;101,777;186;0,531;182;102,128906;174;0,268;2112;1856;2077;187;101,7279;No alert, no SPI, aircraft airbone
CAT048;20;129;04:02:27:328;41,2959349;2,14617067;434,337265959941;1424,99107565201;2,027344;98,140869;1000;14,25;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;101,777344;177;0,276;1664;1440;2077;190,52;102,4255;No alert, no SPI, aircraft airbone
CAT048;20;129;04:02:31:328;41,29513427;2,15080368;464,816665448248;1524,98910866923;2,242188;98,596802;1000;15,25;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;102,128906;183;0,284;1280;992;2077;196,24;102,9694;No alert, no SPI, aircraft airbone
CAT048;20;129;04:02:35:328;41,29430373;2,15553398;480,05599123612;1574,98689828711;2,460938;98,997803;1000;15,75;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;101,777344;189;0,292;960;928;2077;201,96;102,5903;No alert, no SPI, aircraft airbone
CAT048;20;129;04:02:39:328;41,29347438;2,16042754;502,91522814054;1649,98439709261;2,6875;99,30542;1000;16,5;4CAD3C;RYR1FB;1014;0,176;102,305;206;-0,031;202;101,601562;192;0,3;1312;1312;2077;205,92;102,3431;No alert, no SPI, aircraft airbone
CAT048;20;129;04:02:43:328;41,29265476;2,16540029;533,394384304062;1749,98163180014;2,917969;99,541626;1000;17,5;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;101,425781;194;0,304;1472;1600;2077;207,68;101,9586;No alert, no SPI, aircraft airbone
CAT048;20;129;04:02:47:320;41,29186199;2,17046594;563,873453301378;1849,97858052929;3,152344;99,700928;1000;18,5;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;100,546875;198;0,308;1408;1056;2077;210,32;101,5192;No alert, no SPI, aircraft airbone
CAT048;20;129;04:02:51:313;41,29109923;2,17563412;586,732428891584;1924,97522200467;3,390625;99,794312;1000;19,25;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;99,140625;203;0,316;1248;928;2077;216,7;100,3711;No alert, no SPI, aircraft airbone
CAT048;20;129;04:02:55:313;41,29040329;2,18081697;609,591325154528;1999,97160321998;3,628906;99,810791;1000;20;4CAD3C;RYR1FB;1014;-1,582;99,492;220;-0,125;220;98,261719;207;0,324;1472;1408;2077;220,22;99,6735;No alert, no SPI, aircraft airbone
CAT048;20;129;04:02:59:305;41,28973923;2,18626264;640,070082816295;2099,96753050701;3,878906;99,766846;1000;21;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;97,558594;209;0,328;1728;1856;2077;221,98;99,0747;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:03:297;41,28910629;2,19161931;678,16877913475;2224,96325733645;4,125;99,711914;1000;22,25;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;97,03125;210;0,332;1856;1792;2077;224,84;98,7067;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:07:289;41,28848626;2,19715461;716,267346440814;2349,95856089688;4,378906;99,63501;1000;23,5;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;96,679688;211;0,332;1824;1856;2077;226,6;98,3771;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:11:281;41,28791718;2,20261322;754,365848058835;2474,95364894535;4,628906;99,536133;1000;24,75;4CAD3C;RYR1FB;1014;-0,176;98,262;228;-0,031;224;96,503906;211;0,332;1824;1856;2077;228,58;98,3057;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:15:281;41,28731738;2,2082404;792,464216089807;2599,94829871608;4,886719;99,453735;1000;26;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;96,679688;212;0,336;1568;1824;2077;229,46;98,02;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:19:273;41,28674023;2,21378444;830,562520724721;2724,94274049449;5,140625;99,371338;1000;27,25;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;96,855469;212;0,336;1984;1888;2077;231,44;97,9541;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:23:273;41,28612591;2,21958355;868,660655210726;2849,93662404156;5,40625;99,299927;1000;28,5;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;97,03125;213;0,34;2048;2048;2077;232,54;98,1628;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:27:266;41,28552816;2,22511469;914,378788213246;2999,93050352154;5,660156;99,244995;1000;30;4CAD3C;RYR1FB;1014;0,527;98,086;234;0,031;228;97,207031;213;0,34;2016;2144;2077;233,42;98,1299;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:31:258;41,28490681;2,23082403;952,476771027781;3124,92388945879;5,921875;99,195557;1000;31,25;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;97,207031;213;0,34;2176;2176;2077;234,74;98,3331;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:35:250;41,28425387;2,23660628;998,194635615684;3274,91688831336;6,1875;99,162598;1000;32,75;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;97,207031;213;0,34;2112;2208;2077;234,96;98,8165;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:39:242;41,28358608;2,24220957;1043,91247810237;3424,90981465738;6,445312;99,151611;1000;34,25;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;97,207031;212;0,34;2144;2112;2077;236,06;99,0198;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:43:242;41,28288716;2,24798959;1082,01016067062;3549,90221553458;6,710938;99,146118;1000;35,5;4CAD3C;RYR1FB;1014;-1,582;98,965;236;-0,156;230;97,03125;212;0,344;2208;2112;2077;236,06;99,0198;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:47:234;41,28222216;2,25368108;1127,72778618522;3699,89443002792;6,972656;99,129639;1000;37;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;94,570312;214;0,348;2016;1728;2077;238,04;97,24;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:48:617;41,28511839;2,08230306;7,61973206792027;24,9991217577155;1,292969;223,720093;1421;0,25;3424D2;VLG6152;1014;0,703;65,742;106;0;116;63,457031;114;0,172;-96;64;2082;107,36;65,8191;No alert, no SPI, aircraft airbone
